ImageID,Timestamp,PersonX,PersonY,Orientation,left_shoulderX,left_shoulderY,left_shoulderZ,right_shoulderX,right_shoulderY,right_shoulderZ
155,1680179802134652177,1.68,0.051,3.058,1.69,-0.105,0.314,1.716,0.208,0.315
155,1680179802134652177,1.854,-0.507,2.744,1.792,-0.667,0.31,1.892,-0.428,0.327
156,1680179802231314679,1.619,0.084,2.931,1.634,-0.115,0.31,1.7,0.196,0.325
156,1680179802231314679,1.888,-0.479,2.451,1.813,-0.638,0.319,1.991,-0.423,0.336
157,1680179802355231820,1.59,0.053,2.942,1.621,-0.116,0.313,1.683,0.191,0.332
157,1680179802355231820,1.918,-0.441,2.774,1.867,-0.584,0.322,1.968,-0.321,0.306
158,1680179802459888905,1.571,0.045,3.015,1.599,-0.107,0.31,1.638,0.206,0.328
158,1680179802459888905,1.958,-0.414,2.818,1.898,-0.537,0.309,1.986,-0.283,0.306
159,1680179802526825029,1.537,0.075,3.039,1.583,-0.09,0.312,1.616,0.23,0.337
159,1680179802526825029,2.014,-0.374,2.907,1.981,-0.512,0.327,2.044,-0.25,0.309
160,1680179802626312203,1.495,0.118,3.054,1.545,-0.054,0.303,1.572,0.262,0.328
160,1680179802626312203,2.046,-0.352,3.003,2.026,-0.484,0.34,2.069,-0.2,0.307
161,1680179802728002692,1.446,0.177,3.075,1.503,-0.004,0.3,1.524,0.31,0.318
161,1680179802728002692,2.055,-0.344,-3.01,2.04,-0.471,0.337,1.995,-0.154,0.261
162,1680179802827396968,1.509,0.213,-3.112,1.464,0.044,0.29,1.454,0.356,0.293
